customer_number,use_case,registration_month,kyc_status,spend_volume,spend_transaction_count
10000003,Pay with PayMaya,12/1/20 0:00,1,3865.63,2
10000003,Bills Payment,12/1/20 0:00,1,836.0,1
10000003,PAYMAYA SHOP,12/1/20 0:00,1,3562.0,13
10000010,QR,8/1/18 0:00,1,214.0,1
10000010,Online Purchase,8/1/18 0:00,1,549.0,1
10000010,PAYMAYA SHOP,8/1/18 0:00,1,30.0,1
10000010,P2P Sending,8/1/18 0:00,1,50.0,1
10000010,Instapay Sending,8/1/18 0:00,1,140.0,2
10000039,Pay with PayMaya,3/1/18 0:00,0,193.0,1
10000057,Instapay Sending,11/1/19 0:00,1,8270.0,3
10000067,PAYMAYA SHOP,5/1/21 0:00,0,932.0,15
10000085,PAYMAYA SHOP,6/1/20 0:00,1,199.5,3
10000116,Bills Payment,3/1/18 0:00,1,1012.0,1
10000150,Pay with PayMaya,6/1/18 0:00,1,195.0,1
10000150,Online Purchase,6/1/18 0:00,1,194.0,1
10000150,Instapay Sending,6/1/18 0:00,1,5130.0,1
10000183,PAYMAYA SHOP,3/1/20 0:00,1,149.0,2
10000279,Instapay Sending,7/1/16 0:00,1,500.0,1
10000279,Bills Payment,7/1/16 0:00,1,8702.55,1
10000279,Pay with PayMaya,7/1/16 0:00,1,1000.0,1
1000030,Pay with PayMaya,7/1/17 0:00,1,4198.98,1
1000030,Instapay Sending,7/1/17 0:00,1,2800.0,2
1000030,Online Purchase,7/1/17 0:00,1,129.0,1
1000030,PAYMAYA SHOP,7/1/17 0:00,1,600.0,1
10000355,P2P Sending,10/1/16 0:00,1,15000.0,2
10000355,Online Purchase,10/1/16 0:00,1,681.0,1
10000355,Instapay Sending,10/1/16 0:00,1,5000.0,1
10000355,Bills Payment,10/1/16 0:00,1,7367.2,3
10000374,PAYMAYA SHOP,8/1/21 0:00,1,130.0,3
10000374,P2P Sending,8/1/21 0:00,1,55.0,1
10000374,Bills Payment,8/1/21 0:00,1,1699.0,1
10000389,Instapay Sending,1/1/18 0:00,1,760.0,1
10000390,PAYMAYA SHOP,2/1/20 0:00,0,20.0,1
10000424,P2P Sending,11/1/18 0:00,1,40000.0,4
10000433,P2P - Consumer to Negosyo Sending,8/1/21 0:00,1,1800.0,1
1000045,Online Purchase,12/1/20 0:00,1,4286.48,1
1000045,Pay with PayMaya,12/1/20 0:00,1,18183.04,4
10000466,PAYMAYA SHOP,3/1/20 0:00,1,1768.0,24
10000466,Bills Payment,3/1/20 0:00,1,19738.52,10
10000466,Instapay Sending,3/1/20 0:00,1,300.0,1
10000466,QR,3/1/20 0:00,1,3612.89,2
1000049,P2P Sending,7/1/18 0:00,1,560.0,4
1000049,PAYMAYA SHOP,7/1/18 0:00,1,410.0,5
1000049,Online Purchase,7/1/18 0:00,1,1083.0,2
10000515,P2P - Consumer to Negosyo Sending,10/1/19 0:00,1,7800.0,1
10000540,Online Purchase,10/1/20 0:00,1,549.0,1
10000555,PAYMAYA SHOP,4/1/20 0:00,1,260.0,3
10000577,Bills Payment,8/1/21 0:00,0,35512.5,7
10000587,Instapay Sending,9/1/19 0:00,1,2000.0,1
10000587,P2P Sending,9/1/19 0:00,1,199.0,1
10000587,PAYMAYA SHOP,9/1/19 0:00,1,660.0,7
10000587,Pay with PayMaya,9/1/19 0:00,1,635.0,3
10000596,P2P - Consumer to Negosyo Sending,7/1/21 0:00,1,445.0,1
10000689,PAYMAYA SHOP,11/1/19 0:00,1,1700.0,4
10000689,QR,11/1/19 0:00,1,1659.5,3
10000689,POS Purchase,11/1/19 0:00,1,9286.55,4
10000689,ATM Withdrawal,11/1/19 0:00,1,4518.0,1
10000689,Instapay Sending,11/1/19 0:00,1,53250.0,7
10000689,P2P Sending,11/1/19 0:00,1,11750.0,5
10000689,Bills Payment,11/1/19 0:00,1,3291.27,2
10000692,PAYMAYA SHOP,7/1/21 0:00,1,290.0,5
10000692,Pay with PayMaya,7/1/21 0:00,1,383.0,1
10000693,PAYMAYA SHOP,10/1/20 0:00,1,3869.0,83
10000693,Bills Payment,10/1/20 0:00,1,4798.29,8
10000693,Instapay Sending,10/1/20 0:00,1,20300.0,4
100007,PAYMAYA SHOP,3/1/21 0:00,1,50.0,1
10000707,PAYMAYA SHOP,7/1/20 0:00,0,460.0,12
10000708,Online Purchase,11/1/18 0:00,1,11559.0,29
10000708,PAYMAYA SHOP,11/1/18 0:00,1,320.0,7
10000708,ATM Withdrawal,11/1/18 0:00,1,2233.0,2
10000708,Instapay Sending,11/1/18 0:00,1,1998.0,11
10000708,Bills Payment,11/1/18 0:00,1,3000.0,1
10000708,Pay with PayMaya,11/1/18 0:00,1,950.0,2
10000719,Instapay Sending,5/1/21 0:00,1,43.0,1
10000719,Bills Payment,5/1/21 0:00,1,2169.57,3
10000719,Pay with PayMaya,5/1/21 0:00,1,858.0,3
10000719,PAYMAYA SHOP,5/1/21 0:00,1,330.0,3
10000765,Bills Payment,7/1/20 0:00,1,3565.28,2
10000773,PAYMAYA SHOP,3/1/21 0:00,1,2729.0,22
10000773,Bills Payment,3/1/21 0:00,1,6913.0,2
100008,P2P Sending,12/1/17 0:00,1,90500.0,11
100008,Instapay Sending,12/1/17 0:00,1,940.0,1
10000800,Pay with PayMaya,8/1/17 0:00,1,398.0,2
10000800,Instapay Sending,8/1/17 0:00,1,400.0,1
10000800,Online Purchase,8/1/17 0:00,1,5028.0,9
10000800,P2P Sending,8/1/17 0:00,1,3500.0,2
10000800,ATM Withdrawal,8/1/17 0:00,1,9018.0,1
10000800,PAYMAYA SHOP,8/1/17 0:00,1,120.0,3
10000800,Bills Payment,8/1/17 0:00,1,200.0,1
10000807,Instapay Sending,10/1/20 0:00,1,200.0,1
10000807,PAYMAYA SHOP,10/1/20 0:00,1,1858.0,27
1000081,PAYMAYA SHOP,8/1/21 0:00,1,50.0,1
10000811,PAYMAYA SHOP,6/1/19 0:00,1,1240.0,16
10000811,Instapay Sending,6/1/19 0:00,1,5000.0,1
10000821,QR,4/1/19 0:00,1,5877.31,1
10000821,Online Purchase,4/1/19 0:00,1,9933.4,27
10000834,PAYMAYA SHOP,8/1/20 0:00,1,50.0,1
10000834,Instapay Sending,8/1/20 0:00,1,9694.0,4
1000084,PAYMAYA SHOP,4/1/20 0:00,1,110.0,2
1000084,Online Purchase,4/1/20 0:00,1,900.0,3
1000084,Bills Payment,4/1/20 0:00,1,3328.47,1
10000854,PAYMAYA SHOP,4/1/20 0:00,1,318.0,3
10000910,Instapay Sending,2/1/21 0:00,1,22500.0,3
10000931,PAYMAYA SHOP,12/1/19 0:00,0,1060.0,3
10000958,PAYMAYA SHOP,5/1/21 0:00,0,558.0,10
10000958,Bills Payment,5/1/21 0:00,0,4373.17,2
10000959,PAYMAYA SHOP,11/1/19 0:00,1,30.0,1
1000098,P2P - Consumer to Negosyo Sending,6/1/18 0:00,1,3000.0,1
1000098,QR,6/1/18 0:00,1,318.0,1
1000098,P2P Sending,6/1/18 0:00,1,300.0,1
1000099,Instapay Sending,12/1/20 0:00,1,3840.0,1
1000099,Online Purchase,12/1/20 0:00,1,4377.45,11
1000099,P2P Sending,12/1/20 0:00,1,1390.0,2
10001002,Instapay Sending,5/1/21 0:00,1,2500.0,1
10001004,PAYMAYA SHOP,8/1/21 0:00,0,629.0,7
10001004,Pay with PayMaya,8/1/21 0:00,0,458.0,1
10001033,PAYMAYA SHOP,8/1/19 0:00,0,9.5,1
10001034,Instapay Sending,4/1/21 0:00,1,790.0,1
10001043,Pay with PayMaya,3/1/21 0:00,1,1200.0,1
10001050,Pay with PayMaya,7/1/21 0:00,0,1600.0,3
10001056,Bills Payment,10/1/19 0:00,1,1012.0,1
10001059,PAYMAYA SHOP,8/1/21 0:00,0,220.0,2
1000108,Instapay Sending,3/1/18 0:00,1,1345.0,1
1000108,PAYMAYA SHOP,3/1/18 0:00,1,1047.5,8
10001080,P2P Sending,8/1/17 0:00,1,90200.0,11
10001080,Instapay Sending,8/1/17 0:00,1,251.0,1
10001080,PAYMAYA SHOP,8/1/17 0:00,1,100.0,1
10001106,Instapay Sending,9/1/20 0:00,1,390.0,1
10001155,Pay with PayMaya,5/1/21 0:00,1,50.0,1
10001155,Bills Payment,5/1/21 0:00,1,3398.0,2
10001171,Online Purchase,12/1/19 0:00,1,549.0,1
10001174,PAYMAYA SHOP,12/1/19 0:00,1,1230.0,12
10001174,Online Purchase,12/1/19 0:00,1,278.0,2
10001213,Bills Payment,12/1/20 0:00,0,1800.0,1
10001218,PAYMAYA SHOP,9/1/18 0:00,1,50.0,1
10001218,Instapay Sending,9/1/18 0:00,1,148.0,2
10001219,Bills Payment,6/1/20 0:00,1,2000.0,1
10001219,Instapay Sending,6/1/20 0:00,1,1990.0,1
10001229,PAYMAYA SHOP,3/1/18 0:00,1,40.0,1
10001240,P2P Sending,10/1/15 0:00,1,1163.0,3
10001240,Pay with PayMaya,10/1/15 0:00,1,546.88,3
10001240,P2P - Consumer to Negosyo Sending,10/1/15 0:00,1,500.0,1
10001240,Bills Payment,10/1/15 0:00,1,1299.0,1
10001240,PAYMAYA SHOP,10/1/15 0:00,1,300.0,4
10001240,QR,10/1/15 0:00,1,6777.83,7
10001240,Instapay Sending,10/1/15 0:00,1,5879.05,5
10001240,Online Purchase,10/1/15 0:00,1,7610.28,21
10001294,PAYMAYA SHOP,8/1/20 0:00,1,0.0,0
10001325,Pay with PayMaya,5/1/20 0:00,0,324.0,3
10001325,PAYMAYA SHOP,5/1/20 0:00,0,60.0,2
10001343,Instapay Sending,7/1/20 0:00,1,2177.0,7
10001343,PAYMAYA SHOP,7/1/20 0:00,1,832.0,10
10001343,Pay with PayMaya,7/1/20 0:00,1,15997.0,8
10001343,P2P Sending,7/1/20 0:00,1,4000.0,1
10001355,Instapay Sending,3/1/17 0:00,1,110.0,1
10001369,P2P Sending,1/1/18 0:00,1,9.0,1
10001369,PAYMAYA SHOP,1/1/18 0:00,1,249.0,3
1000139,P2P Sending,6/1/17 0:00,1,6150.0,8
10001467,Instapay Sending,12/1/19 0:00,1,4000.0,1
10001467,P2P Sending,12/1/19 0:00,1,75000.0,8
10001467,Online Purchase,12/1/19 0:00,1,278.0,2
10001471,Online Purchase,11/1/18 0:00,1,194.0,1
10001471,QR,11/1/18 0:00,1,30.0,1
10001471,Bills Payment,11/1/18 0:00,1,100.0,1
10001477,Online Purchase,8/1/18 0:00,1,194.0,1
10001477,PAYMAYA SHOP,8/1/18 0:00,1,10.0,1
1000148,Bills Payment,3/1/20 0:00,1,9764.56,4
1000148,PAYMAYA SHOP,3/1/20 0:00,1,739.0,11
100015,Bills Payment,11/1/17 0:00,1,360.11,2
100015,Instapay Sending,11/1/17 0:00,1,110.0,1
100015,PAYMAYA SHOP,11/1/17 0:00,1,25.0,2
10001508,P2P Sending,12/1/15 0:00,1,4276.0,5
10001508,Pay with PayMaya,12/1/15 0:00,1,458.0,1
10001508,Bills Payment,12/1/15 0:00,1,1536.0,3
10001508,PAYMAYA SHOP,12/1/15 0:00,1,230.0,3
10001508,POS Purchase,12/1/15 0:00,1,2858.95,2
10001508,ATM Withdrawal,12/1/15 0:00,1,15177.0,10
10001525,Pay with PayMaya,12/1/17 0:00,1,149.0,1
10001525,Instapay Sending,12/1/17 0:00,1,200.0,1
10001533,Instapay Sending,7/1/19 0:00,1,650.0,2
10001533,ATM Withdrawal,7/1/19 0:00,1,11558.0,5
10001533,PAYMAYA SHOP,7/1/19 0:00,1,75.0,1
10001536,PAYMAYA SHOP,12/1/19 0:00,1,300.0,1
10001537,Pay with PayMaya,4/1/20 0:00,1,474.0,3
10001537,Instapay Sending,4/1/20 0:00,1,170.0,1
10001537,PAYMAYA SHOP,4/1/20 0:00,1,20.0,1
10001564,P2P Sending,5/1/21 0:00,1,1000.0,1
10001614,Pay with PayMaya,6/1/19 0:00,1,660.0,1
10001614,PAYMAYA SHOP,6/1/19 0:00,1,30.0,1
10001640,PAYMAYA SHOP,7/1/21 0:00,0,45.0,2
10001646,QR,2/1/21 0:00,1,4194.52,4
10001646,Pay with PayMaya,2/1/21 0:00,1,3833.75,4
10001646,P2P - Consumer to Negosyo Sending,2/1/21 0:00,1,25770.0,22
10001646,Bills Payment,2/1/21 0:00,1,34905.74,24
10001646,P2P Sending,2/1/21 0:00,1,1000.0,1
10001654,Online Purchase,11/1/18 0:00,1,520.45,3
10001654,Bills Payment,11/1/18 0:00,1,612.0,1
10001654,Instapay Sending,11/1/18 0:00,1,30390.0,6
10001654,Pay with PayMaya,11/1/18 0:00,1,399.0,1
10001654,PAYMAYA SHOP,11/1/18 0:00,1,918.0,3
10001679,Bills Payment,5/1/19 0:00,1,2840.0,2
10001679,Instapay Sending,5/1/19 0:00,1,26600.0,3
10001679,ATM Withdrawal,5/1/19 0:00,1,20036.0,2
10001695,PAYMAYA SHOP,7/1/21 0:00,0,50.0,1
10001715,Instapay Sending,4/1/21 0:00,1,3000.0,1
10001715,PAYMAYA SHOP,4/1/21 0:00,1,20.0,2
10001722,Instapay Sending,8/1/21 0:00,1,230.0,2
10001733,P2P Sending,7/1/19 0:00,1,1100.0,1
10001739,PAYMAYA SHOP,6/1/21 0:00,1,300.0,2
10001739,QR,6/1/21 0:00,1,8000.0,1
10001739,Instapay Sending,6/1/21 0:00,1,5710.0,4
10001739,P2P Sending,6/1/21 0:00,1,15500.0,4
10001750,Instapay Sending,5/1/20 0:00,1,1990.0,1
10001761,PAYMAYA SHOP,7/1/20 0:00,1,10.0,1
10001761,Online Purchase,7/1/20 0:00,1,65.0,1
10001765,Bills Payment,5/1/18 0:00,1,5055.67,3
10001765,Online Purchase,5/1/18 0:00,1,194.0,1
10001765,P2P Sending,5/1/18 0:00,1,2500.0,4
10001765,Instapay Sending,5/1/18 0:00,1,47.83,1
10001765,PAYMAYA SHOP,5/1/18 0:00,1,10.0,1
10001779,Instapay Sending,6/1/20 0:00,1,300.0,3
10001779,PAYMAYA SHOP,6/1/20 0:00,1,70.0,7
10001789,Bills Payment,3/1/20 0:00,1,1636.0,1
10001789,P2P Sending,3/1/20 0:00,1,151.0,2
10001803,PAYMAYA SHOP,7/1/20 0:00,1,50.0,1
10001803,P2P Sending,7/1/20 0:00,1,1000.0,1
10001803,Bills Payment,7/1/20 0:00,1,9477.26,1
10001827,PAYMAYA SHOP,6/1/20 0:00,1,399.0,1
10001833,Bills Payment,3/1/18 0:00,1,15000.0,1
10001860,Online Purchase,1/1/19 0:00,1,533.75,2
10001860,Pay with PayMaya,1/1/19 0:00,1,7505.0,1
10001860,P2P Sending,1/1/19 0:00,1,500.0,1
10001860,Instapay Sending,1/1/19 0:00,1,1800.0,2
10001860,QR,1/1/19 0:00,1,938.5,2
10001860,Bills Payment,1/1/19 0:00,1,2100.0,1
10001862,PAYMAYA SHOP,3/1/20 0:00,1,180.0,3
10001898,PAYMAYA SHOP,9/1/20 0:00,1,269.0,4
10001898,Instapay Sending,9/1/20 0:00,1,3645.0,3
10001959,Instapay Sending,12/1/20 0:00,1,0.0,0
10001959,ATM Withdrawal,12/1/20 0:00,1,5018.0,2
10001975,PAYMAYA SHOP,7/1/20 0:00,0,727.0,6
10002000,Pay with PayMaya,3/1/17 0:00,1,34950.0,5
10002000,P2P Sending,3/1/17 0:00,1,35000.0,4
10002000,Instapay Sending,3/1/17 0:00,1,8500.0,1
10002007,PAYMAYA SHOP,5/1/20 0:00,1,1280.0,14
10002018,Online Purchase,6/1/18 0:00,1,549.0,1
10002037,Bills Payment,5/1/19 0:00,1,2100.0,3
10002037,PAYMAYA SHOP,5/1/19 0:00,1,849.0,8
1000204,Bills Payment,7/1/20 0:00,1,2000.0,1
1000209,PAYMAYA SHOP,2/1/20 0:00,1,1930.0,35
10002116,P2P Sending,1/1/21 0:00,1,400.0,1
10002159,PAYMAYA SHOP,7/1/20 0:00,0,654.0,15
10002172,Pay with PayMaya,8/1/21 0:00,0,818.0,1
10002174,Bills Payment,1/1/21 0:00,0,822.0,2
10002194,Bills Payment,4/1/21 0:00,1,300.0,1
1000221,QR,6/1/21 0:00,1,5062.0,2
1000221,Instapay Sending,6/1/21 0:00,1,5000.0,1
1000221,PAYMAYA SHOP,6/1/21 0:00,1,448.0,3
1000221,Pay with PayMaya,6/1/21 0:00,1,1315.0,2
10002213,Instapay Sending,2/1/18 0:00,1,14800.0,1
10002223,PAYMAYA SHOP,7/1/21 0:00,1,100.0,2
10002223,Bills Payment,7/1/21 0:00,1,2707.0,1
10002328,Instapay Sending,5/1/21 0:00,1,540.0,1
1000233,Instapay Sending,11/1/18 0:00,1,2000.0,1
1000233,PAYMAYA SHOP,11/1/18 0:00,1,100.0,1
1000233,Bills Payment,11/1/18 0:00,1,6559.6,4
10002358,Pay with PayMaya,12/1/20 0:00,1,458.0,1
10002358,PAYMAYA SHOP,12/1/20 0:00,1,1130.0,6
10002379,P2P Sending,5/1/20 0:00,1,7975.81,1
10002379,Online Purchase,5/1/20 0:00,1,93262.0,1
10002381,Pay with PayMaya,3/1/20 0:00,1,147.0,3
10002381,QR,3/1/20 0:00,1,214.0,1
10002407,QR,2/1/18 0:00,1,1500.0,1
10002407,Online Purchase,2/1/18 0:00,1,1136.0,5
10002407,Bills Payment,2/1/18 0:00,1,10000.0,1
10002407,Pay with PayMaya,2/1/18 0:00,1,11367.49,2
10002419,Bills Payment,12/1/19 0:00,1,26342.0,2
10002419,Online Purchase,12/1/19 0:00,1,1589.25,1
10002423,PAYMAYA SHOP,5/1/20 0:00,1,1780.0,10
10002423,Online Purchase,5/1/20 0:00,1,259.0,1
10002423,Bills Payment,5/1/20 0:00,1,1953.57,1
10002423,Instapay Sending,5/1/20 0:00,1,2700.0,1
10002423,QR,5/1/20 0:00,1,497.75,2
10002461,PAYMAYA SHOP,3/1/21 0:00,0,10.0,1
10002508,Online Purchase,2/1/17 0:00,1,1510.79,3
10002508,Instapay Sending,2/1/17 0:00,1,300.0,1
10002508,PAYMAYA SHOP,2/1/17 0:00,1,449.0,5
10002517,Bills Payment,9/1/17 0:00,1,740.0,2
10002521,Instapay Sending,1/1/16 0:00,1,250.0,1
10002521,P2P - Consumer to Negosyo Sending,1/1/16 0:00,1,1500.0,1
10002521,Online Purchase,1/1/16 0:00,1,1253.75,2
10002521,Bills Payment,1/1/16 0:00,1,4020.0,3
10002521,PAYMAYA SHOP,1/1/16 0:00,1,249.0,2
10002521,P2P Sending,1/1/16 0:00,1,3000.0,1
10002524,QR,7/1/21 0:00,1,214.0,1
10002524,PAYMAYA SHOP,7/1/21 0:00,1,90.0,1
10002524,Online Purchase,7/1/21 0:00,1,354.87,2
10002539,Instapay Sending,8/1/20 0:00,1,50.0,1
10002561,Pay with PayMaya,10/1/20 0:00,1,950.0,7
10002589,Bills Payment,10/1/18 0:00,1,3855.0,2
10002589,Instapay Sending,10/1/18 0:00,1,500.0,1
10002589,Pay with PayMaya,10/1/18 0:00,1,904.0,2
10002589,Online Purchase,10/1/18 0:00,1,1038.5,3
10002589,P2P Sending,10/1/18 0:00,1,300.0,1
10002594,PAYMAYA SHOP,2/1/20 0:00,1,1187.0,5
10002594,Bills Payment,2/1/20 0:00,1,1124.0,1
10002602,P2P Sending,8/1/20 0:00,1,500.0,2
10002602,Instapay Sending,8/1/20 0:00,1,400.0,2
10002602,PAYMAYA SHOP,8/1/20 0:00,1,755.0,10
10002602,Pay with PayMaya,8/1/20 0:00,1,5600.0,11
10002642,Instapay Sending,3/1/18 0:00,1,1359.9,4
10002642,Pay with PayMaya,3/1/18 0:00,1,1015.0,5
10002648,PAYMAYA SHOP,10/1/19 0:00,1,710.0,15
10002648,QR,10/1/19 0:00,1,78.0,1
10002648,P2P Sending,10/1/19 0:00,1,100.0,1
1000265,Online Purchase,10/1/19 0:00,1,96.0,1
10002677,PAYMAYA SHOP,8/1/21 0:00,1,30.0,2
10002681,Bills Payment,8/1/20 0:00,1,2512.0,1
10002681,Instapay Sending,8/1/20 0:00,1,19899.0,9
10002699,Pay with PayMaya,10/1/20 0:00,1,466.0,4
10002710,Bills Payment,5/1/21 0:00,1,1860.0,1
10002748,PAYMAYA SHOP,5/1/21 0:00,1,2465.0,59
10002748,Pay with PayMaya,5/1/21 0:00,1,171.0,5
10002770,Online Purchase,12/1/17 0:00,1,369.0,1
10002770,Instapay Sending,12/1/17 0:00,1,1115.0,2
10002773,Pay with PayMaya,4/1/20 0:00,1,550.0,1
10002789,PAYMAYA SHOP,4/1/20 0:00,0,600.0,4
10002793,Online Purchase,3/1/20 0:00,1,511.63,1
10002868,Bills Payment,7/1/20 0:00,1,1299.0,1
10002868,PAYMAYA SHOP,7/1/20 0:00,1,99.0,1
10002898,Pay with PayMaya,10/1/20 0:00,1,1473.0,6
10002912,Pay with PayMaya,8/1/21 0:00,1,3992.0,4
10002932,QR,3/1/18 0:00,0,100.5,1
10002970,Online Purchase,7/1/20 0:00,1,30.0,1
10002970,Instapay Sending,7/1/20 0:00,1,36100.0,2
10002976,ATM Withdrawal,7/1/20 0:00,1,1416.0,1
10002983,PAYMAYA SHOP,1/1/18 0:00,1,100.0,1
10002983,Instapay Sending,1/1/18 0:00,1,3800.0,1
10003006,Bills Payment,8/1/21 0:00,0,825.61,1
10003123,Bills Payment,6/1/21 0:00,1,3878.0,1
10003123,Instapay Sending,6/1/21 0:00,1,1690.0,1
10003123,PAYMAYA SHOP,6/1/21 0:00,1,896.0,6
10003124,Online Purchase,5/1/18 0:00,1,779.03,1
10003124,Bills Payment,5/1/18 0:00,1,1377.02,2
10003124,Instapay Sending,5/1/18 0:00,1,13729.99,2
10003124,P2P Sending,5/1/18 0:00,1,15276.56,8
10003124,PAYMAYA SHOP,5/1/18 0:00,1,1639.0,14
10003139,PAYMAYA SHOP,2/1/21 0:00,1,580.0,8
10003156,ATM Withdrawal,6/1/19 0:00,1,11538.0,3
10003156,Online Purchase,6/1/19 0:00,1,459.0,1
10003156,Instapay Sending,6/1/19 0:00,1,22109.54,7
10003156,PAYMAYA SHOP,6/1/19 0:00,1,634.0,20
10003156,Bills Payment,6/1/19 0:00,1,4231.75,3
10003160,PAYMAYA SHOP,4/1/20 0:00,1,80.0,3
1000317,PAYMAYA SHOP,3/1/20 0:00,1,1499.0,1
1000317,Pay with PayMaya,3/1/20 0:00,1,836.59,2
10003181,Bills Payment,9/1/17 0:00,1,4020.0,5
10003181,PAYMAYA SHOP,9/1/17 0:00,1,10.0,1
10003208,PAYMAYA SHOP,5/1/21 0:00,0,434.0,10
10003208,Bills Payment,5/1/21 0:00,0,4351.14,5
10003217,Pay with PayMaya,8/1/20 0:00,1,49.0,1
10003217,Bills Payment,8/1/20 0:00,1,1300.0,1
10003236,Online Purchase,7/1/20 0:00,1,1386.0,7
1000325,Instapay Sending,12/1/20 0:00,1,3198.0,7
1000325,PAYMAYA SHOP,12/1/20 0:00,1,159.0,3
1000325,Bills Payment,12/1/20 0:00,1,1800.0,1
10003259,P2P Sending,2/1/20 0:00,1,2000.0,1
10003259,Instapay Sending,2/1/20 0:00,1,5900.0,2
10003259,PAYMAYA SHOP,2/1/20 0:00,1,120.0,8
10003291,ATM Withdrawal,11/1/19 0:00,1,309114.0,52
10003296,P2P Sending,12/1/18 0:00,1,1501.0,4
10003296,QR,12/1/18 0:00,1,444.1,1
10003296,PAYMAYA SHOP,12/1/18 0:00,1,150.0,2
10003337,Instapay Sending,8/1/18 0:00,1,500.0,1
10003337,Bills Payment,8/1/18 0:00,1,1179.54,1
10003337,Pay with PayMaya,8/1/18 0:00,1,83.0,1
10003393,P2P Sending,4/1/20 0:00,1,60000.0,12
10003397,P2P - Consumer to Negosyo Sending,5/1/21 0:00,1,500.0,1
10003397,PAYMAYA SHOP,5/1/21 0:00,1,170.0,6
10003397,Instapay Sending,5/1/21 0:00,1,30.0,1
1000343,Pay with PayMaya,6/1/20 0:00,1,4055.0,1
1000343,PAYMAYA SHOP,6/1/20 0:00,1,1498.0,9
1000343,P2P Sending,6/1/20 0:00,1,400.0,1
10003460,PAYMAYA SHOP,12/1/20 0:00,1,420.0,13
10003460,ATM Withdrawal,12/1/20 0:00,1,98389.0,18
10003460,Instapay Sending,12/1/20 0:00,1,140.3,2
10003481,P2P Sending,5/1/21 0:00,1,100.0,1
1000350,PAYMAYA SHOP,8/1/21 0:00,1,70.0,2
1000350,Bills Payment,8/1/21 0:00,1,285.0,1
1000350,Pay with PayMaya,8/1/21 0:00,1,500.0,1
10003501,PAYMAYA SHOP,8/1/21 0:00,1,45.0,2
10003504,PAYMAYA SHOP,6/1/21 0:00,1,100.0,1
10003545,Instapay Sending,10/1/17 0:00,1,10190.0,1
10003546,PAYMAYA SHOP,2/1/21 0:00,1,80.0,2
10003564,P2P Sending,10/1/17 0:00,1,138.0,2
10003564,Online Purchase,10/1/17 0:00,1,1369.78,1
10003564,Instapay Sending,10/1/17 0:00,1,100.0,1
10003588,Instapay Sending,4/1/17 0:00,1,300.0,1
10003588,Online Purchase,4/1/17 0:00,1,4681.53,4
10003616,PAYMAYA SHOP,7/1/20 0:00,1,0.0,0
1000363,Instapay Sending,11/1/18 0:00,1,350.0,2
10003661,Online Purchase,3/1/17 0:00,1,525.0,1
10003666,Instapay Sending,5/1/20 0:00,1,1500.0,1
10003666,PAYMAYA SHOP,5/1/20 0:00,1,898.0,9
10003666,Bills Payment,5/1/20 0:00,1,216.15,1
10003671,PAYMAYA SHOP,10/1/20 0:00,1,300.0,1
10003715,Online Purchase,2/1/17 0:00,1,2350.0,2
10003721,PAYMAYA SHOP,7/1/21 0:00,1,5314.0,92
10003721,P2P Sending,7/1/21 0:00,1,150.0,1
10003721,Bills Payment,7/1/21 0:00,1,1512.0,1
10003724,Bills Payment,10/1/19 0:00,1,5373.7,5
10003724,PAYMAYA SHOP,10/1/19 0:00,1,1164.0,25
10003724,QR,10/1/19 0:00,1,5684.99,3
10003724,P2P Sending,10/1/19 0:00,1,11110.0,6
10003728,Bills Payment,12/1/20 0:00,0,1162.54,2
10003728,PAYMAYA SHOP,12/1/20 0:00,0,2274.0,44
10003737,Instapay Sending,1/1/20 0:00,1,7276.64,2
10003737,Bills Payment,1/1/20 0:00,1,7557.0,4
10003742,Instapay Sending,12/1/19 0:00,1,9492.0,3
10003749,Pay with PayMaya,7/1/20 0:00,1,1000.0,1
10003784,Pay with PayMaya,1/1/20 0:00,1,154.29,1
10003784,Bills Payment,1/1/20 0:00,1,490.1,2
10003796,PAYMAYA SHOP,6/1/21 0:00,0,607.0,5
10003798,PAYMAYA SHOP,6/1/20 0:00,1,100.0,1
10003800,Instapay Sending,1/1/21 0:00,1,180.0,1
10003800,Pay with PayMaya,1/1/21 0:00,1,1058.0,1
10003805,Instapay Sending,7/1/20 0:00,1,53024.0,4
10003805,QR,7/1/20 0:00,1,256.51,1
10003805,PAYMAYA SHOP,7/1/20 0:00,1,180.0,2
10003828,Instapay Sending,12/1/20 0:00,1,2207.0,4
10003828,PAYMAYA SHOP,12/1/20 0:00,1,100.0,2
10003871,Pay with PayMaya,8/1/21 0:00,1,47.5,1
10003871,PAYMAYA SHOP,8/1/21 0:00,1,98.0,5
10003879,PAYMAYA SHOP,12/1/17 0:00,1,404.5,7
10003879,Instapay Sending,12/1/17 0:00,1,41530.21,7
10003879,ATM Withdrawal,12/1/17 0:00,1,12769.0,15
10003879,Online Purchase,12/1/17 0:00,1,4032.1,26
10003882,P2P Sending,3/1/21 0:00,1,90000.0,9
10003882,Instapay Sending,3/1/21 0:00,1,390.0,1
10003882,Pay with PayMaya,3/1/21 0:00,1,9.5,1
10003907,Online Purchase,8/1/19 0:00,1,2000.0,1
10003914,PAYMAYA SHOP,1/1/21 0:00,0,10.0,1
10003956,ATM Withdrawal,12/1/18 0:00,1,21106.0,7
10003994,Instapay Sending,11/1/20 0:00,1,550.0,2
